MemTotal:         998588 kB
MemFree:          105168 kB
MemAvailable:     418300 kB
Buffers:           29648 kB
Cached:           315420 kB
SwapCached:            0 kB
Active:            77960 kB
Inactive:         468832 kB
Active(anon):        520 kB
Inactive(anon):   204604 kB
Active(file):      77440 kB
Inactive(file):   264228 kB
Unevictable:        1200 kB
Mlocked:               0 kB
SwapTotal:        524284 kB
SwapFree:         524028 kB
Dirty:               444 kB
Writeback:             0 kB
AnonPages:        203008 kB
Mapped:            67156 kB
Shmem:              3400 kB
KReclaimable:      33040 kB
Slab:              53760 kB
SReclaimable:      33040 kB
SUnreclaim:        20720 kB
KernelStack:        2384 kB
PageTables:         2016 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:      892504 kB
Committed_AS:     329168 kB
VmallocTotal:   263061440 kB
VmallocUsed:        6356 kB
VmallocChunk:          0 kB
Percpu:              624 kB
CmaTotal:         131072 kB
CmaAllocated:       1280 kB
CmaReleased:      129792 kB
CmaFree:              32 kB
